pl_name,pl_orbper,pl_radius,pl_radiuserr1,pl_radiuserr2,pl_radius_sigma,pl_mass,pl_masserr1,pl_masserr2,pl_mass_sigma
Kepler-323 c,3.5538229,1.57,0.04,-0.04,39.25,6.8,3.4,-3.2,2
HR 8799 b,170000,13,1,-1,13,2000,1000,-600,2
HD 28109 b,22.89104,2.199,0.098,-0.1,21.99,18.496,9.12,-7.609,2.028070175
Kepler-18 b,3.504725,2,0.1,-0.1,20,6.9,3.4,-3.4,2.029411765
HD 28109 d,84.25999,3.25,0.11,-0.11,29.54545455,5.681,2.738,-2.11,2.074872169
Kepler-277 b,17.324,2.92,0.73,-0.63,4,87.3,41.7,-39.9,2.09352518
Kepler-107 b,3.1800218,1.536,0.025,-0.025,61.44,3.8,1.8,-1.7,2.111111111
Kepler-19 b,9.28699,2.209,0.048,-0.048,46.02083333,6.1,2.8,-2.7,2.178571429
Kepler-328 b,34.921,2.3,0.96,-0.23,2.395833333,28.5,12.9,-12.3,2.209302326
Kepler-98 b,1.54168,1.99,0.22,-0.22,9.045454545,3.55,1.6,-1.6,2.21875
Kepler-11 f,46.6888,2.49,0.04,-0.07,35.57142857,2,0.8,-0.9,2.222222222
K2-266 e,19.482,2.73,0.14,-0.11,19.5,14.3,6.4,-5,2.234375
Kepler-103 c,179.60978,5.45,0.18,-0.18,30.27777778,38,17,-16,2.235294118
KOI-94 b,3.743208,1.71,0.16,-0.16,10.6875,10.5,4.6,-4.6,2.282608696
Kepler-100 b,6.88705,1.32,0.04,-0.04,33,7.34,3.2,-3.2,2.29375
Kepler-114 d,11.776,2.53,0.28,-0.28,9.035714286,3.9,1.7,-1.7,2.294117647
Kepler-102 d,10.311767,1.154,0.058,-0.058,19.89655172,3,1.3,-1.3,2.307692308
BD+20 594 b,41.6855,2.578,0.112,-0.112,23.01785714,22.2481,9.5349,-9.5349,2.333333333
Kepler-1647 b,1107.5923,11.874,0.138,-0.138,86.04347826,483,206,-206,2.344660194
HATS-37 A b,4.3315366,6.793,0.179,-0.179,37.94972067,31.46517,13.34886,-13.34886,2.357142857
Kepler-238 e,23.654,5.6,2.37,-0.46,2.362869198,169.7,71.7,-69.1,2.366806137
TOI-178 g,20.7095,2.87,0.14,-0.13,20.5,3.94,1.31,-1.62,2.432098765
HD 93963 A b,1.0391353,1.35,0.042,-0.042,32.14285714,7.8,3.2,-3.2,2.4375
Kepler-595 b,25.3029092,3.708,0.01,-0.01,370.8,17.4,7.1,-3.8,2.450704225
TOI-5398 c,4.77271,3.52,0.19,-0.19,18.52631579,11.8,4.8,-4.7,2.458333333
LHS 1815 b,3.814334,1.088,0.064,-0.064,17,1.58,0.64,-0.6,2.46875
CoRoT-31 b,4.62941,16.365,3.363,-3.363,4.866190901,266.9772,108.0622,-108.0622,2.470588235
Kepler-96 b,16.2385,2.67,0.22,-0.22,12.13636364,8.46,3.4,-3.4,2.488235294
L 98-59 b,2.2531136,0.85,0.061,-0.047,13.93442623,0.4,0.16,-0.15,2.5
Kepler-305 c,8.291,3.3,0.82,-0.33,4.024390244,6,2.4,-2.2,2.5
EPIC 246851721 b,6.180235,11.781,0.493,-0.493,23.89655172,953.49,349.613,-381.396,2.5
Kepler-103 b,15.9653287,3.486,0.057,-0.054,61.15789474,9.8,3.9,-3.9,2.512820513
TOI-1470 c,18.08816,2.47,0.02,-0.02,123.5,7.24,2.87,-2.77,2.522648084
CoRoT-24 c,11.759,5,0.5,-0.5,10,28,11,-11,2.545454545
Kepler-79 c,27.4029,3.72,0.08,-0.08,46.5,5.9,1.9,-2.3,2.565217391
HD 23472 e,7.90754,0.818,0.08,-0.065,10.225,0.72,0.28,-0.27,2.571428571
TOI-2136 b,7.851928,2.19,0.17,-0.17,12.88235294,6.37,2.45,-2.29,2.6
Kepler-102 e,16.1456994,2.17,0.11,-0.11,19.72727273,4.7,1.8,-1.8,2.611111111
HD 23472 d,3.97664,0.75,0.067,-0.057,11.19402985,0.55,0.21,-0.2,2.619047619
KOI-1831 d,34.169,1.13,0.05,-0.05,22.6,2.23,0.5,-0.84,2.654761905
K2-32 d,31.71701,3.484,0.112,-0.129,27.00775194,6.7,2.5,-2.5,2.68
TOI-2818 b,4.039709,15.278,0.516,-0.504,29.60852713,225.65817,82.63539,-82.63539,2.730769105
Kepler-113 b,4.754,1.82,0.05,-0.05,36.4,11.7,4.2,-4.2,2.785714286
HATS-46 b,4.7423729,10.122,0.65,-0.504,15.57230769,54.98459,19.70546,-19.70546,2.790322581
Kepler-350 d,26.136,2.8,1.28,-0.54,2.1875,14.9,5.3,-4.7,2.811320755
K2-36 c,5.340888,3.2,0.3,-0.3,10.66666667,7.9,2.8,-2.8,2.821428571
Kepler-117 b,18.7959228,8.059,0.269,-0.269,29.95910781,29.875,10.488,-10.488,2.848493516
Kepler-447 b,7.79430132,18.49,6.61,-6.28,2.797276853,435.41,152.55,-146.2,2.854211734
Kepler-79 d,52.0902,7.16,0.13,-0.16,44.75,6,2.1,-1.6,2.857142857
Kepler-328 c,71.312,5.4,2.24,-0.54,2.410714286,39.4,13.6,-12.6,2.897058824
TOI-178 d,6.5577,2.572,0.075,-0.078,32.97435897,3.01,0.8,-1.03,2.922330097
TOI-776 c,15.6653,2.02,0.14,-0.14,14.42857143,5.3,1.8,-1.8,2.944444444
K2-138 b,2.35309,1.51,0.11,-0.084,13.72727273,3.1,1.05,-1.05,2.952380952
CoRoT-35 b,3.22748,18.831,1.233,-1.233,15.27250608,349.61125,117.59651,-117.59651,2.972973007
Kepler-411 d,58.02035,3.319,0.104,-0.104,31.91346154,15.2,5.1,-5.1,2.980392157
Kepler-138 d,23.0923,1.51,0.04,-0.04,37.75,2.1,0.6,-0.7,3
Kepler-223 c,9.84564,3.44,0.2,-0.3,11.46666667,5.1,1.7,-1.1,3
POTS-1 b,3.1606296,10.548,0.404,-0.527,20.01518027,734.16,244.72,-244.72,3
HR 8799 c,69000,13,1,0,13,3000,1000,-1000,3
HR 8799 d,37000,13,1,0,13,3000,1000,-1000,3
WASP-88 b,4.954,16.365,2.354,-2.354,6.951996602,133.4886,44.4962,-44.4962,3
HIP 65426 b,,16.814,1.121,-1.121,14.99910794,2860.47,953.49,-953.49,3
OGLE2-TR-L9 b,2.4855335,18.046,0.448,-0.448,40.28125,1430.175,476.725,-476.725,3
Kepler-413 b,66.262,4.347,0.099,-0.099,43.90909091,67,22,-21,3.045454545
KELT-15 b,3.32944,19.504,2.242,-2.242,8.699375558,416.3573,136.6669,-136.6669,3.046511628
K2-36 b,1.422614,1.43,0.08,-0.08,17.875,4.3,1.4,-1.4,3.071428571
TOI-178 e,9.961881,2.207,0.088,-0.09,24.52222222,3.86,1.25,-0.94,3.088
HAT-P-21 b,4.12448,12.442,1.793,-1.793,6.939208031,1547.8321,498.9931,-498.9931,3.101910828
WASP-73 b,4.08722,15.917,2.466,-2.466,6.45458232,908.9938,292.4036,-292.4036,3.108695652
TOI-1246 d,18.6559,3.51,0.09,-0.09,39,5.3,1.7,-1.7,3.117647059
TOI-1260 c,7.493134,2.76,0.07,-0.07,39.42857143,13.2,4.23,-4.23,3.120567376
Kepler-425 b,3.79701816,10.962,0.247,-0.247,44.3805668,79.45,25.43,-25.43,3.124262682
HD 18599 b,4.1374354,2.6,0.15,-0.13,17.33333333,24.1,7.1,-7.7,3.12987013
K2-3 c,24.646729,1.582,0.057,-0.051,27.75438596,2.68,0.85,-0.85,3.152941176
Kepler-1655 b,11.8728787,2.213,0.082,-0.082,26.98780488,5.4,1.7,-1.7,3.176470588
WASP-61 b,3.8559,15.805,2.466,-2.466,6.409164639,851.7844,266.9772,-266.9772,3.19047619
Kepler-145 b,22.951,2.65,0.08,-0.08,33.125,37.1,11.6,-11.6,3.198275862
WASP-32 b,2.71866,10.761,1.681,-1.681,6.401546698,835.8929,260.6206,-260.6206,3.207317073
TOI-2669 b,6.2034,19.728,1.793,-1.793,11.00278862,193.87533,60.3874,-60.3874,3.210526202
HAT-P-64 b,4.007232,19.089,0.785,-0.785,24.31719745,184.34048,57.20911,-41.31769,3.222222475
Kepler-427 b,10.290994,13.79,2.35,-2.35,5.868085106,92.17,28.6,-28.6,3.222727273
HIP 9618 b,20.772907,3.9,0.044,-0.044,88.63636364,10,3.1,-3.1,3.225806452
Kepler-1972 c,11.3295,0.868,0.051,-0.05,17.01960784,2.11,0.59,-0.65,3.246153846
Kepler-1972 b,7.54425,0.802,0.042,-0.041,19.0952381,2.02,0.56,-0.62,3.258064516
Kepler-276 d,48.648,2.8,1.23,-0.27,2.276422764,16.3,5,-4.3,3.26
Kepler-106 c,13.5708,2.5,0.32,-0.32,7.8125,10.44,3.2,-3.2,3.2625
WASP-72 b,2.21673,14.46,2.018,-2.018,7.165510406,731.009,222.481,-222.481,3.285714286
WASP-34 b,4.31768,11.209,0.897,-0.897,12.4960981,177.9848,54.0311,-54.0311,3.294117647
Kepler-422 b,7.8914483,12.89,1.23,-1.23,10.4796748,136.66,41.32,-41.32,3.307357212
Kepler-129 c,82.2,2.52,0.07,-0.07,36,43,13,-12,3.307692308
TOI-4145 A b,4.0664428,13.305,0.359,-0.347,37.06128134,136.66622,41.31769,-41.31769,3.307692661
COCONUTS-2 b,402000000,12.442,0.336,-0.336,37.0297619,2002.31896,476.74261,-603.87397,3.315789485
Kepler-29 b,10.33974,2.55,0.12,-0.12,21.25,5,1.5,-1.3,3.333333333
Kepler-539 b,125.63243,8.373,0.191,-0.191,43.83769634,308.2951,92.1707,-92.1707,3.344827586
Kepler-282 e,44.347,3.1,1.26,-0.25,2.46031746,56.2,16.2,-16.7,3.365269461
K2-32 c,20.66093,3.134,0.123,-0.102,25.4796748,8.1,2.4,-2.4,3.375
WASP-84 c,1.4468849,1.95,0.12,-0.12,16.25,15.2,4.5,-4.2,3.377777778
Kepler-92 c,26.723,2.6,0.08,-0.08,32.5,6.1,1.8,-1.8,3.388888889
WASP-17 b,3.73543,20.961,2.69,-2.69,7.792193309,247.9074,73.1009,-73.1009,3.391304348
TOI-178 b,1.914558,1.152,0.073,-0.07,15.78082192,1.5,0.39,-0.44,3.409090909
Kepler-79 e,81.0659,3.49,0.14,-0.14,24.92857143,4.1,1.2,-1.1,3.416666667
Kepler-223 e,19.72567,4.6,0.27,-0.41,11.2195122,4.8,1.4,-1.2,3.428571429
KELT-9 b,1.4811235,21.196,0.684,-0.594,30.98830409,915.3504,266.9772,-266.9772,3.428571429
MASCARA-4 b,2.82406,17.15,0.785,-0.448,21.84713376,985.273,286.047,-286.047,3.444444444
WASP-58 b,5.01718,16.029,1.569,-1.569,10.21606119,308.2951,88.9924,-88.9924,3.464285714
HAT-P-7 b,2.20474,16.926,2.354,-2.354,7.190314359,584.8072,168.4499,-168.4499,3.471698113
WASP-48 b,2.14363,16.814,2.242,-2.242,7.49955397,254.264,73.1009,-73.1009,3.47826087
Kepler-25 b,6.238297,2.748,0.038,-0.035,72.31578947,8.7,2.5,-2.3,3.48
KOI-1783.02,284.215,5.44,0.52,-0.3,10.46153846,15,4.3,-3.6,3.488372093
Kepler-138 b,10.3134,0.64,0.02,-0.02,32,0.07,0.02,-0.02,3.5
HAT-P-26 b,4.23452,7.062,0.448,-0.448,15.76339286,22.2481,6.3566,-6.3566,3.5
K2-100 b,1.6739035,3.88,0.16,-0.16,24.25,21.8,6.2,-6.2,3.516129032
HAT-P-29 b,5.72319,13.115,1.457,-1.457,9.001372684,279.6904,79.4575,-79.4575,3.52
WASP-22 b,3.53269,13.787,1.569,-1.569,8.787125558,212.9461,60.3877,-60.3877,3.526315789
Kepler-277 c,33.006,3.36,0.83,-0.72,4.048192771,64.2,18.1,-15.7,3.546961326
TOI-836 c,8.59545,2.587,0.088,-0.088,29.39772727,9.6,2.7,-2.5,3.555555556
Wendelstein-1 b,2.663416,11.561,0.068,-0.068,170.0147059,188.15536,52.44195,-41.00007,3.587878788
Kepler-20 d,77.611455,2.606,0.053,-0.039,49.16981132,13.4,3.7,-3.6,3.621621622
WASP-174 b,4.2337005,16.107,0.56,-0.56,28.7625,104.88337,28.92239,-28.92239,3.626372855
TOI-3785 b,4.6747373,5.14,0.16,-0.16,32.125,14.95,4.1,-3.92,3.646341463
HAT-P-40 b,4.45724,17.038,1.906,-1.906,8.939139559,152.5584,41.3179,-41.3179,3.692307692
WASP-26 b,2.7566,13.563,1.681,-1.681,8.06841166,270.1555,73.1009,-73.1009,3.695652174
TOI-1452 b,11.06201,1.672,0.071,-0.071,23.54929577,4.82,1.3,-1.3,3.707692308
EPIC 220674823 c,13.3397,2.836,0.086,-0.073,32.97674419,8.9,2.4,-2.4,3.708333333
HAT-P-49 b,2.69155,17.822,2.018,-2.018,8.831516353,699.226,187.5197,-187.5197,3.728813559
NGTS-11 b,35.45533,9.158,0.314,-0.359,25.5097493,109.33352,29.24036,-23.20159,3.739130435
Kepler-276 c,31.884,2.9,1.27,-0.28,2.283464567,16.6,4.4,-3.6,3.772727273
Kepler-11 e,31.9996,4.19,0.07,-0.09,46.55555556,8,1.5,-2.1,3.80952381
HD 207496 b,6.441008,2.25,0.12,-0.1,18.75,6.1,1.6,-1.6,3.8125
Kepler-138 c,13.7815,1.51,0.04,-0.04,37.75,2.3,0.6,-0.5,3.833333333
K2-199 b,3.2253993,1.73,0.05,-0.04,34.6,6.9,1.8,-1.8,3.833333333
K2-79 b,10.9947,4.09,0.17,-0.12,24.05882353,9.2,2.4,-2.4,3.833333333
WASP-94 A b,3.95019,17.71,1.457,-1.457,12.15511325,158.915,41.3179,-41.3179,3.846153846
Kepler-454 b,10.5737534,2.37,0.13,-0.13,18.23076923,5.4,1.4,-1.4,3.857142857
HD 23472 c,29.79749,1.87,0.12,-0.11,15.58333333,3.41,0.88,-0.81,3.875
GJ 3929 b,2.616235,1.09,0.04,-0.04,27.25,1.75,0.44,-0.45,3.888888889
HATS-50 b,3.8297015,12.666,0.841,-0.841,15.06064209,123.9537,31.783,-31.783,3.9
TOI-1422 b,12.9972,3.96,0.13,-0.11,30.46153846,9,2.3,-2,3.913043478
NGTS-17 b,3.24253,13.899,1.233,-1.233,11.27250608,242.8209,61.97654,-52.12386,3.91794863
TOI-908 b,3.183792,3.186,0.155,-0.155,20.55483871,16.137,4.112,-4.039,3.924367704
HD 106315 b,9.55237,2.44,0.17,-0.17,14.35294118,12.6,3.2,-3.2,3.9375
TOI-1801 b,10.64387,2.079,0.124,-0.11,16.76612903,5.738,1.455,-1.428,3.943642612
TOI-2236 b,3.5315902,14.37,0.359,-0.347,40.02785515,502.16888,127.13136,-123.95308,3.950000063
CoRoT-7 b,0.85359163,1.681,0.112,-0.112,15.00892857,4.07661,1.01982,-1.01982,3.997381891
K2-182 b,4.7369683,2.69,0.07,-0.05,38.42857143,20,5,-5,4
TOI-530 b,6.387597,9.303,0.673,-0.673,13.82317979,127.13136,28.60456,-31.78284,4
WASP-13 b,4.35301,13.675,1.569,-1.569,8.715742511,114.4188,28.6047,-28.6047,4
GJ 9827 d,6.20147,2.022,0.046,-0.043,43.95652174,3.53,0.87,-0.88,4.011363636
TOI-2587 A b,5.45664,12.072,0.471,-0.448,25.63057325,69.28659,17.16273,-14.62011,4.037037814
Kepler-305 b,5.487,3.6,0.9,-0.36,4,10.5,2.6,-2,4.038461538
TOI-2184 b,6.90683,11.4,0.572,-0.572,19.93006993,206.58846,50.85255,-50.85255,4.062499521
K2-167 b,9.97748,2.3,0.21,-0.14,10.95238095,6.5,1.6,-1.5,4.0625
HATS-27 b,4.637038,16.814,2.242,-1.233,7.49955397,168.4499,41.3179,-41.3179,4.076923077
Kepler-29 c,13.28613,2.34,0.12,-0.11,19.5,4.5,1.1,-1.1,4.090909091
TrES-4 b,3.55395,18.046,2.018,-2.018,8.942517344,247.9074,60.3877,-60.3877,4.105263158
HD 106315 c,21.05704,4.35,0.23,-0.23,18.91304348,15.2,3.7,-3.7,4.108108108
WASP-63 b,4.37808,15.805,1.569,-1.569,10.07329509,117.5971,28.6047,-28.6047,4.111111111
EPIC 249893012 d,35.747,3.94,0.13,-0.12,30.30769231,10.18,2.46,-2.42,4.138211382
KOI-1257 b,86.647661,10.54,1.35,-1.35,7.807407407,460.83,111.24,-111.24,4.142664509
TOI-622 b,6.402513,9.236,0.314,-0.325,28.41846154,96.30201,21.93016,-22.88365,4.208332587
WASP-71 b,2.90367,13.227,1.345,-1.345,9.834200743,441.7837,104.8839,-104.8839,4.212121212
WASP-54 b,3.69364,17.71,1.906,-1.906,9.291710388,187.5197,44.4962,-44.4962,4.214285714
TOI-2421 b,4.3474032,10.368,0.392,-0.381,26.44897959,105.83686,25.10844,-25.10844,4.215190589
NGTS-16 b,4.84532,14.572,1.457,-1.345,10.00137268,211.99155,49.89906,-40.99986,4.248407685
Kepler-426 b,3.21751883,12.22,0.34,-0.34,35.94117647,108.06,25.43,-25.43,4.249311836
TOI-3693 b,9.088516,12.599,0.325,-0.258,38.76615385,324.18498,76.27882,-69.92225,4.249999934
CoRoT-29 b,2.85057,10.088,1.793,-1.793,5.626324596,270.1555,63.566,-63.566,4.25
Kepler-107 e,14.749143,2.903,0.035,-0.035,82.94285714,14.1,3.3,-3.3,4.272727273
WASP-24 b,2.34121,15.468,1.793,-1.793,8.62688232,394.1092,92.1707,-92.1707,4.275862069
K2-25 b,3.48456408,3.44,0.12,-0.12,28.66666667,24.5,5.7,-5.2,4.298245614
TOI-2583 A b,4.5207265,14.46,0.448,-0.37,32.27678571,79.4571,18.43405,-17.79839,4.310344173
WASP-68 b,5.0843,14.796,1.569,-1.569,9.430210325,343.2564,79.4575,-79.4575,4.32
NGTS-24 b,3.4678796,13.608,0.65,-0.695,19.57985612,165.27077,38.13941,-34.96112,4.333333159
KELT-6 b,7.8457,14.572,1.009,-1.009,14.4420218,165.2716,38.1396,-38.1396,4.333333333
Kepler-80 e,4.64489,1.6,0.08,-0.07,20,4.13,0.81,-0.95,4.347368421
TOI-1789 b,3.208664,16.141,2.69,-1.569,6.000371747,222.47988,50.85255,-50.85255,4.374999484
TOI-2018 b,7.435583,2.268,0.069,-0.069,32.86956522,9.2,2.1,-2.1,4.380952381
WASP-25 b,3.76483,11.994,1.121,-1.121,10.69937556,139.8452,31.783,-31.783,4.4
HAT-P-6 b,3.85298,16.589,1.681,-1.681,9.868530637,419.5356,95.349,-95.349,4.4
OGLE-TR-10 b,3.101278,14.011,1.569,-1.345,8.929891651,197.046,44.494,-44.494,4.428597114
K2-260 b,2.6266657,17.396,0.538,-0.639,27.22378717,451.3186,98.5273,-101.7056,4.4375
TOI-776 b,8.24661,1.85,0.13,-0.13,14.23076923,4,0.9,-0.9,4.444444444
Kepler-289 d,66.0634,2.68,0.17,-0.17,15.76470588,4,0.9,-0.9,4.444444444
Kepler-538 b,81.73778,2.215,0.04,-0.034,55.375,12.9,2.9,-2.9,4.448275862
HD 15337 c,17.1784,2.39,0.12,-0.12,19.91666667,8.11,1.82,-1.69,4.456043956
Kepler-411 c,7.834435,4.421,0.062,-0.062,71.30645161,26.4,5.9,-5.9,4.474576271
HATS-58 A b,4.2180896,12.274,0.695,-0.695,17.66043165,327.3649,73.1009,-73.1009,4.47826087
Kepler-95 b,11.5231,3.42,0.09,-0.09,38,13,2.9,-2.9,4.482758621
Lupus-TR-3 b,3.91405,9.976,0.785,-0.785,12.70828025,257.431,57.207,-57.207,4.49999126
Kepler-91 b,6.24658,15.323,0.773,-0.673,19.82276843,257.4423,57.2094,-54.0311,4.5
KELT-17 b,3.0801716,17.094,0.729,-0.673,23.44855967,416.3573,88.9924,-92.1707,4.517241379
Kepler-406 b,2.42629,1.43,0.03,-0.03,47.66666667,6.35,1.4,-1.4,4.535714286
Kepler-8 b,3.5224991,15.872,0.594,-0.695,22.83741007,187.5197,41.3179,-38.1396,4.538461538
HATS-6 b,3.3252725,11.187,0.213,-0.213,52.52112676,101.38777,22.2481,-22.2481,4.557142857
TOI-2000 b,3.09833,2.7,0.15,-0.15,18,11,2.4,-2.4,4.583333333
WASP-3 b,1.84683,15.917,1.906,-1.906,8.350996852,772.3269,168.4499,-168.4499,4.58490566
TOI-2364 b,4.0197517,8.608,0.258,-0.202,33.36434109,71.51139,13.66662,-15.57359,4.591837206
WASP-29 b,3.92273,8.631,0.785,-0.785,10.99490446,73.1009,15.8915,-15.8915,4.6
Kepler-131 b,16.092,2.41,0.2,-0.2,12.05,16.13,3.5,-3.5,4.608571429
HAT-P-30 b,2.8106,16.141,1.681,-1.681,9.602022606,263.7989,57.2094,-57.2094,4.611111111
TOI-178 f,15.231915,2.287,0.108,-0.11,20.79090909,7.72,1.67,-1.52,4.622754491
HD 63935 c,21.4023,2.9,0.13,-0.13,22.30769231,11.1,2.4,-2.4,4.625
WASP-6 b,3.36101,11.545,1.121,-1.121,10.29884032,117.5971,25.4264,-25.4264,4.625
WASP-49 b,2.78174,12.442,1.233,-1.233,10.09083536,117.5971,25.4264,-25.4264,4.625
Kepler-92 b,13.749,3.51,0.1,-0.1,35.1,64.3,13.9,-13.9,4.625899281
GJ 3090 b,2.853136,2.13,0.11,-0.11,19.36363636,3.34,0.72,-0.72,4.638888889
WASP-11 b,3.72247,12.442,1.121,-1.121,11.09901873,251.0857,54.0311,-54.0311,4.647058824
Kepler-238 f,50.447,2,0.85,-0.17,2.352941176,13.5,2.9,-2.5,4.655172414
Kepler-114 c,8.041,1.6,0.18,-0.18,8.888888889,2.8,0.6,-0.6,4.666666667
HD 191939 d,38.353037,2.995,0.07,-0.07,42.78571429,2.8,0.6,-0.6,4.666666667
TOI-1231 b,24.245586,3.65,0.16,-0.15,22.8125,15.4,3.3,-3.3,4.666666667
HATS-45 b,4.1876244,14.415,1.042,-1.042,13.83397313,222.481,47.6745,-47.6745,4.666666667
HD 93963 A c,3.6451398,3.228,0.059,-0.059,54.71186441,19.2,4.1,-4.1,4.682926829
WASP-55 b,4.46563,14.908,1.457,-1.457,10.23198353,193.8763,41.3179,-41.3179,4.692307692
WASP-172 b,5.477433,17.598,1.121,-1.121,15.6984835,149.3801,31.783,-31.783,4.7
GJ 1252 b,0.5182331,1.193,0.074,-0.074,16.12162162,1.32,0.28,-0.28,4.714285714
TOI-3884 b,4.5445697,6,0.18,-0.18,33.33333333,16.5,3.5,-1.8,4.714285714
TOI-3976 A b,6.607662,12.274,0.404,-0.392,30.38118812,55.61997,11.75965,-11.44182,4.729730051
Kepler-99 b,4.60358,1.48,0.08,-0.08,18.5,6.15,1.3,-1.3,4.730769231
HAT-P-8 b,3.07634,15.693,1.457,-1.457,10.77076184,406.8224,85.8141,-85.8141,4.740740741
Kepler-60 c,8.9187,1.9,0.15,-0.15,12.66666667,3.85,0.81,-0.81,4.75308642
WASP-67 b,4.61442,12.89,1.233,-1.233,10.4541768,136.6669,28.6047,-28.6047,4.777777778
TOI-4860 b,1.52275959,8.474,0.269,-0.269,31.50185874,212.94503,44.49598,-44.49598,4.7857139
WASP-193 b,6.2463345,16.41,0.661,-0.639,24.82602118,44.17815,9.21702,-9.21702,4.793105581
HATS-64 b,4.908897,18.82,0.908,-0.908,20.72687225,305.1168,63.566,-63.566,4.8
TOI-4562 b,225.11781,12.53,0.15,-0.15,83.53333333,732,152,-149,4.815789474
HATS-43 b,4.3888497,13.227,0.56,-0.56,23.61964286,82.95363,17.16282,-17.16282,4.833333333
Kepler-145 c,42.882,4.32,0.12,-0.12,36,79.4,16.4,-16.4,4.841463415
TOI-2154 b,3.8240801,16.287,0.594,-0.538,27.41919192,292.40213,60.3874,-57.20911,4.842104976
HATS-39 b,4.5776348,17.598,1.345,-1.345,13.08401487,200.2329,41.3179,-41.3179,4.846153846
Kepler-11 d,22.6845,3.12,0.06,-0.07,44.57142857,7.3,0.8,-1.5,4.866666667
HAT-P-5 b,2.78849,13.563,1.121,-1.121,12.09901873,311.4734,63.566,-63.566,4.9
TOI-836 b,3.81673,1.704,0.067,-0.067,25.43283582,4.53,0.92,-0.86,4.923913043
HD 183579 b,17.471278,3.55,0.15,-0.12,23.66666667,19.7,4,-3.9,4.925
TOI-1728 b,3.49151,5.05,0.16,-0.17,29.70588235,26.78,5.43,-5.13,4.931860037
Kepler-60 d,11.8981,1.99,0.16,-0.16,12.4375,4.16,0.84,-0.75,4.952380952
WASP-16 b,3.1186,13.675,1.121,-1.121,12.19892953,394.1092,79.4575,-79.4575,4.96
TOI-4329 b,2.9223,16.813,2.13,-2.13,7.89342723,143.02278,28.60456,-28.60456,4.999999301
Kepler-105 c,7.1262,1.31,0.07,-0.07,18.71428571,4.6,0.92,-0.85,5
